Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender,Year
A. Fatima,PRAP,0,Graduate Professional,41,37000,Hyderabad,0,0,F,2009
Altaf Ahmed Khan,IND,0,10th Pass,43,240000,Hyderabad,0,0,M,2009
B.Ravi Yadav,IND,0,Graduate,33,1690187,Hyderabad,620000,0,M,2009
D.Sadanand,IND,0,8th Pass,45,471500,Hyderabad,0,0,M,2009
D.Surender,TNPP,0,8th Pass,36,1055000,Hyderabad,0,0,M,2009
M.A.Basith,IND,0,10th Pass,55,300000,Hyderabad,0,0,M,2009
M.A.Quddus Ghori,IND,1,Not Given,43,30000,Hyderabad,0,0,M,2009
M.A.Sattar,IND,2,10th Pass,29,35000,Hyderabad,0,0,M,2009
Ma Habeeb,IND,0,10th Pass,33,10000,Hyderabad,0,0,M,2009
Md.Osman,IND,0,Illiterate,45,25000,Hyderabad,0,0,M,2009
Moullim Mohsin Bin Hussain Al Kasary,IND,0,Graduate,33,13630000,Hyderabad,0,0,M,2009
N.L.Srinivas,IND,0,12th Pass,31,197000,Hyderabad,0,0,M,2009
P. Laxman Rao Goud,INC,0,12th Pass,55,18530669,Hyderabad,2000000,0,M,2009
P.Venkateswara Rao,PPOI,0,Post Graduate,58,1978000,Hyderabad,600000,0,M,2009
S. Gopal Singh,Akhil Bharatiya Jan Sangh,1,5th Pass,34,,Hyderabad,0,0,M,2009
Samy Mohammed,BSP,0,Post Graduate,29,306000,Hyderabad,0,0,M,2009
Sardar Singh,IND,0,8th Pass,62,731000,Hyderabad,168000,0,M,2009
Satish Agarwal,BJP,0,Graduate,38,10695500,Hyderabad,4921846,0,M,2009
Syed Abdul Gaffer,IND,0,8th Pass,51,20000,Hyderabad,0,0,M,2009
Taher Kamal Khundmiri,JD(S),0,Not Given,52,10000,Hyderabad,0,0,M,2009
Zahid Ali Khan,IND,0,10th Pass,26,65000,Hyderabad,0,0,M,2009
Zahid Ali Khan,TDP,7,Graduate,66,96194429,Hyderabad,1144670,0,M,2009
Y.S. Jagan Mohan Reddy,INC,0,Graduate,36,728151658,Kadapa,66396966,1,M,2009
C Gopi Narasimha Reddy,JD(U),0,12th Pass,31,1356400,Kadapa,510000,0,M,2009
C Sivanarayana Reddy,IND,0,Others,39,2429000,Kadapa,0,0,M,2009
Dr. Khaleel Basha,PRAP,0,Graduate Professional,60,1990356,Kadapa,310743,0,M,2009
G Prasanna Kumar,LSP,0,Post Graduate,55,32454000,Kadapa,0,0,M,2009
G Rama Subba Reddy,PPOI,0,Others,57,3950000,Kadapa,950000,0,M,2009
J Muni Reddy,BSP,1,12th Pass,31,747000,Kadapa,0,0,M,2009
J Subbarayudu,IND,0,5th Pass,51,15000,Kadapa,0,0,M,2009
K Chinnapa Reddy,Bharatiya Jan Shakti,0,10th Pass,41,346867,Kadapa,0,0,M,2009
K Sainath Sarma,RDHP,2,12th Pass,38,268000,Kadapa,0,0,M,2009
K Venkata Subba Reddy,RRS,0,5th Pass,42,2570000,Kadapa,0,0,M,2009
N Kishore Kumar Reddy,JD(S),3,Others,32,1152000,Kadapa,400000,0,M,2009
Palem Srikanth Reddy,TDP,0,Post Graduate,46,283709255,Kadapa,45000000,0,M,2009
S Ali Sher,IND,0,10th Pass,47,6707300,Kadapa,1500,0,M,2009
S Raja,IND,0,12th Pass,46,335000,Kadapa,0,0,M,2009
V Narendra,IND,0,Graduate,39,174000,Kadapa,0,0,M,2009
Vangala Shashi Bhushan Reddy,BJP,0,Others,38,164000,Kadapa,27000,0,M,2009
Y Ramesh Reddy,IND,1,Not Given,35,5114000,Kadapa,0,0,M,2009
Y Shekara Reddy,RPI(A),1,8th Pass,47,830000,Kadapa,50000,0,M,2009
Vijaya Shanthi .M,TRS,0,10th Pass,43,271066905,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,2009
D.Yadeshwar,BSP(AP),0,Graduate,46,110000,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,2009
K. Sudheer Reddy,LSP,0,Post Graduate,37,3810013,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,2009
Khaja Quayum Anwar Md.,PRAP,0,Graduate Professional,45,5290000,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,2009
Kovuri Prabhakar,PPOI,0,Not Given,51,824000,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,2009
Kundeti Ravi,IND,0,Post Graduate,32,226586,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,2009
Narendranath Chaganla,INC,0,12th Pass,45,562290014,KADAPA :BYE- ELECTION ON 08-05-2011,8977996,0,M,2009
P. Niroop Reddy,BJP,0,Post Graduate,50,22746000,KADAPA :BYE- ELECTION ON 08-05-2011,1490000,0,M,2009
Y.Shankar Goud,BSP,0,Post Graduate,44,3336000,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,2009
M M Pallamraju,INC,0,Post Graduate,46,65589882,Kakinada,1112763,1,M,2009
Akay Suryanarayana,IND,0,8th Pass,50,,Kakinada,0,0,M,2009
Aluri Vijaya Lakhsmi,LSP,0,Post Graduate,64,25098100,Kakinada,0,0,F,2009
Badampudi Baburao,IND,1,5th Pass,51,,Kakinada,0,0,M,2009
Bikkina Visweswara Rao,BJP,0,Graduate Professional,34,8740000,Kakinada,952000,0,M,2009
Bugatha Bangarrao,CPI(ML)(L),7,10th Pass,48,230560,Kakinada,0,0,M,2009
C Surya Narayana Murthy,IND,0,Others,44,45300,Kakinada,0,0,M,2009
Chalamalasetty Sunil,PRAP,0,Post Graduate,39,109877965,Kakinada,0,0,M,2009
Danam Lazar Babu,IND,0,Graduate Professional,42,710000,Kakinada,400000,0,M,2009
Dommeti Sudhakar,BSP,0,Post Graduate,51,1060000,Kakinada,70000,0,M,2009
Gali Satyavathi,RPI,0,Not Given,40,120000,Kakinada,0,0,F,2009
Gidla Simhachalam,RDMP,0,Graduate Professional,50,,Kakinada,0,0,M,2009
K Udaya Kumar,TNPP,1,Graduate Professional,36,430000,Kakinada,0,0,M,2009
N Pallam Raju,Ajeya Bharat Party,0,Graduate,52,4325000,Kakinada,500000,0,M,2009
Namala Satyanarayana,RDHP,0,Graduate Professional,45,560000,Kakinada,0,0,M,2009
Vasamsetty Satya,TDP,0,Graduate,44,24485000,Kakinada,5500000,0,M,2009
Ponnam Prabhakar,INC,0,Graduate Professional,41,1287000,Karimnagar,0,1,M,2009
Balla Suresh,IND,0,5th Pass,32,2000,Karimnagar,0,0,M,2009
Barige Gattaiah Yadav,IND,0,Not Given,32,,Karimnagar,0,0,M,2009
Ch. Janga Reddy,BJP,1,12th Pass,75,30128100,Karimnagar,18630,0,M,2009
Gaddam Raji Reddy,IND,0,Not Given,48,1030000,Karimnagar,0,0,M,2009
Kandem Prabhakar,IND,0,10th Pass,44,1700000,Karimnagar,0,0,M,2009
Korivi Venugopal,IND,0,Graduate Professional,47,410000,Karimnagar,0,0,M,2009
Lingampalli Srinivas Reddy,MCPI(S),0,10th Pass,39,75520,Karimnagar,0,0,M,2009
Panakanti Satish Kumar,IND,0,Graduate Professional,46,181357,Karimnagar,138666,0,M,2009
Peddi Ravinder,IND,0,Post Graduate,29,95000,Karimnagar,0,0,M,2009
Ragula Ramulu,RPI(A),0,5th Pass,41,1500000,Karimnagar,0,0,M,2009
T. Srimannarayana,PPOI,0,12th Pass,68,2115000,Karimnagar,0,0,M,2009
Velichala Rajendar Rao,PRAP,0,Post Graduate,46,22730000,Karimnagar,0,0,M,2009
Vinod Kumar Boinapally,TRS,0,Graduate Professional,49,50776910,Karimnagar,118258,0,M,2009
Viresham Nalimela,BSP,0,Graduate Professional,58,37880000,Karimnagar,1276000,0,M,2009
Nama Nageswara Rao,TDP,0,12th Pass,50,1737508117,Khammam,0,1,M,2009
Avula Venkateswarlu,IND,2,Graduate,45,100000,Khammam,0,0,M,2009
Banoth Laxma Naik,IND,0,10th Pass,52,500000,Khammam,0,0,M,2009
Chanda Lingaiah,IND,0,Graduate,58,1735000,Khammam,0,0,M,2009
Danda Lingaiah,IND,0,Not Given,59,530000,Khammam,0,0,M,2009
Jalagam Hemamalini,PRAP,0,Graduate,40,1999000,Khammam,200000,0,F,2009
Jupelli Satyanarayana,LSP,0,Post Graduate,62,1045000,Khammam,0,0,M,2009
K. Ravinder,BJP,0,Graduate,45,2189000,Khammam,890000,0,M,2009
M Raghuram Prasad,PPOI,0,Not Given,55,7280000,Khammam,24000,0,M,2009
Mallavarapu Jeremaih,IND,0,Graduate Professional,63,46458000,Khammam,101000,0,M,2009
Renuka Chowdhury,INC,1,Post Graduate,54,381527458,Khammam,0,0,M,2009
Shaik Mader Saheb,TNPP,2,10th Pass,40,,Khammam,0,0,M,2009
T Venkateswar Rao,BSP,0,Graduate,47,762000,Khammam,65000,0,M,2009
Kotla Jaya Surya Prakash Reddy,INC,0,Graduate,57,53719195,Kurnool,3034000,1,M,2009
B.T.Naidu,TDP,0,Post Graduate,36,5545000,Kurnool,350000,0,M,2009
Dr.Dandiya Khaja Peera,PRAP,0,Graduate Professional,55,9830500,Kurnool,400000,0,M,2009
Ravi Subramanyam K.A.,BJP,0,Graduate Professional,39,3150000,Kurnool,0,0,M,2009
Konakalla Narayana Rao,TDP,0,12th Pass,59,8616000,Machilipatnam,3787000,1,M,2009
Bhogadi Ramadevi,BJP,0,Not Given,56,1986000,Machilipatnam,70000,0,F,2009
C Rama Lingeswara Rao,BSP,0,Others,33,250000,Machilipatnam,0,0,M,2009
C Ramachandriaiah,PRAP,1,Graduate,60,50157255,Machilipatnam,9540751,0,M,2009
K Vara Lakhsmi,PPOI,0,Literate,59,2030000,Machilipatnam,0,0,M,2009
Koppula Venkateswara Rao,LSP,0,Not Given,45,,Machilipatnam,0,0,M,2009
Ramakrishna Badiga,INC,0,12th Pass,66,225047000,Machilipatnam,3627000,0,M,2009
Y Subramanyeswara Rao (Mani),IND,0,10th Pass,50,502000,Machilipatnam,0,0,M,2009
P. Balram,INC,0,Graduate,45,17195194,Mahabubabad,14122000,1,M,2009
B. Dilip,BJP,0,Graduate,35,11545000,Mahabubabad,8102375,0,M,2009
Banoth Molchand,LSP,0,12th Pass,60,1010000,Mahabubabad,0,0,M,2009
D.T. Naik,PRAP,0,Graduate Professional,61,61928000,Mahabubabad,20000000,0,M,2009
Datla Nageswar Rao,IND,0,Graduate Professional,42,2700000,Mahabubabad,300000,0,M,2009
Gummadi Pullaiah,BSP,0,Graduate,58,400000,Mahabubabad,0,0,M,2009
Kalthi Veeraswamy,IND,0,8th Pass,52,125000,Mahabubabad,0,0,M,2009
Kechela Ranga Reddy,IND,0,Not Given,44,600000,Mahabubabad,0,0,M,2009
Kunja Srinivasa Rao,CPI,1,Graduate,32,310500,Mahabubabad,50000,0,M,2009
P Satyanarayana,IND,0,12th Pass,32,622000,Mahabubabad,0,0,M,2009
Padiga Yerraiah,IND,0,Not Given,64,,Mahabubabad,0,0,M,2009
Podem Sammaiah,PPOI,0,Post Graduate,31,10000,Mahabubabad,0,0,M,2009
K. Chandrasekhara Rao,TRS,2,Graduate,55,22669420,Mahbubnagar,0,0,M,2009
Abdul Kareem Khaja Mohammad,LSP,0,Graduate,50,,Mahbubnagar,0,0,M,2009
Asirvadam,GRIP,0,Post Graduate,35,,Mahbubnagar,0,0,M,2009
B. Balraju Goud,MANP,0,10th Pass,44,97743082,Mahbubnagar,39780111,0,M,2009
D.Dasaratha Ramulu,IND,0,12th Pass,31,,Mahbubnagar,0,0,M,2009
Depally Maisaiah,IND,0,10th Pass,27,,Mahbubnagar,0,0,M,2009
Depally Sayanna,IND,0,Not Given,47,,Mahbubnagar,0,0,M,2009
G.Vijayalaxmi,PPOI,0,Not Given,61,105000,Mahbubnagar,0,0,F,2009
Gajju Pedda Narsimhulu,IND,0,Not Given,35,,Mahbubnagar,0,0,M,2009
Gangapuri Ravinder Goud,IND,0,Not Given,28,,Mahbubnagar,0,0,M,2009
K Yadagiri Reddy,BJP,4,Graduate,51,4100000,Mahbubnagar,0,0,M,2009
K.Venkatesh,TNPP,0,Graduate,37,250000,Mahbubnagar,100000,0,M,2009
Kanduri Narsimhulu,IND,0,Not Given,52,,Mahbubnagar,0,0,M,2009
Kanduru Kurmaiah,IND,0,Not Given,56,,Mahbubnagar,0,0,M,2009
Karre Jangaiah,IND,0,10th Pass,29,,Mahbubnagar,0,0,M,2009
Kothur Nagender Reddy,IND,0,Not Given,50,350000,Mahbubnagar,16000,0,M,2009
Laxmamma,IND,0,Not Given,30,,Mahbubnagar,0,0,F,2009
M.A.Jabbar,IND,0,Not Given,39,,Mahbubnagar,0,0,M,2009
Mala Jangilamma,IND,0,Not Given,50,,Mahbubnagar,0,0,F,2009
Mohammad Ghouse Mohinuddin,IND,0,Not Given,76,40,Mahbubnagar,0,0,M,2009
Muniswamy C.R,Samajwadi Janata Party (Rashtriya),0,Not Given,32,,Mahbubnagar,0,0,M,2009
Palem Sudharshan Goud,BSP,0,Not Given,41,120000,Mahbubnagar,0,0,M,2009
Pandu,IND,0,Not Given,29,,Mahbubnagar,0,0,M,2009
Rajesh Naik,IND,0,10th Pass,30,17000,Mahbubnagar,0,0,M,2009
Ramadasu,IND,0,10th Pass,41,9000,Mahbubnagar,0,0,M,2009
Rangamma,IND,0,Not Given,50,,Mahbubnagar,0,0,M,2009
Sathyamma,IND,0,Illiterate,32,,Mahbubnagar,0,0,F,2009
V.Venkateshwarlu,IND,0,12th Pass,32,,Mahbubnagar,0,0,M,2009
Vittal Rao D,INC,1,Graduate,57,60409958,Mahbubnagar,4500000,0,M,2009
Yetti Chinna Venkaiah,IND,0,Not Given,47,,Mahbubnagar,0,0,M,2009
Yetty Lingaiah,IND,0,Not Given,52,,Mahbubnagar,0,0,M,2009
Sarvey Satyanarayana,INC,1,Graduate Professional,54,10112521,Malkajgiri,116848,0,M,2009
Bheem Sen,TDP,0,Graduate Professional,60,2856116,Malkajgiri,0,0,M,2009
C Francis Mjf,SP,0,Graduate,57,60000,Malkajgiri,0,0,M,2009
C Venkata Subba Rao,IND,0,Graduate,52,1855000,Malkajgiri,810355,0,M,2009
Dr.Lavu Rathaiah,LSP,1,Doctorate,56,155460261,Malkajgiri,57975695,0,M,2009
Indrasena Reddy,BJP,0,Post Graduate,56,24115000,Malkajgiri,235000,0,M,2009
J Bhaskar,IND,0,Not Given,34,,Malkajgiri,0,0,M,2009
K Bhojraj,IND,1,Not Given,35,,Malkajgiri,0,0,M,2009
K Srinivasa Raju,IND,0,Graduate,44,2580000,Malkajgiri,1284000,0,M,2009
Kante Kanakaiah Ganagaputra,IND,0,Graduate,63,9148383,Malkajgiri,1404,0,M,2009
Lt.Col.(Retd) Duserla Paparaidu,IND,0,Post Graduate,62,12500000,Malkajgiri,600000,0,M,2009
M Babu Rao,BSP,2,12th Pass,52,14100000,Malkajgiri,1115000,0,M,2009
Md Mansoor Ali,IND,0,12th Pass,31,150000,Malkajgiri,0,0,M,2009
N V Rama Reddy,PPOI,0,10th Pass,54,36650006,Malkajgiri,96384,0,M,2009
Narendar Kumbala,BPD,0,Post Graduate,39,120000,Malkajgiri,0,0,M,2009
